id,title,category_id,funding_goal,start_date,end_date
1,Save the World,3,2000,whatever,whatever
2,Save the Whale,3,903,whatever,whatever
3,Help me Write my Life Story,2,6437,whatever,whatever
4,A Book About the World,2,134,whatever,whatever
5,A Book About the Whales,2,24,whatever,whatever
6,A Book,2,354,whatever,whatever
7,Nothing Here,2,452,whatever,whatever
8,Much Ado About Nothing,2,2345,whatever,whatever
9,My Band Rocks,1,24,whatever,whatever
10,I Want to learn the Harpsichord,1,245,whatever,whatever
